Passage,DOI,Material,Rc,Unit,log(Rc)
"Soft X-ray emission study of Pd–Ni–Cu–P bulk metallic glass. Bulk metallic glasses of Pd–Ni–Cu–P alloys, discovered by Nishiyama and Inoue [1], have intensively been investigated due to their good glass-forming abilities (GFA). They have optimized the concentration dependence of the critical-cooling-rate, and found that Pd42.5Ni7.5Cu30P20 has at present the slowest critical-cooling-rate of 0.067K/s and can form a massive bulk glass with a diameter of more than 40mm by simple water-quenching [2].",10.1016/j.elspec.2006.12.061,Cu30Ni7.5P20Pd42.5,0.067,K/s,-1.173925197
Isothermal crystallization kinetics analysis of melt-spun Pd42.5Cu30Ni7.5P20 amorphous ribbons. A lot of researches about the nucleation and crystallization process have been performed with this glassy system [4–10]. Recently Pd42.5Cu30Ni7.5P20 has been reported as a eutectic composition with the lowest critical cooling rate for glass formation of 0.067K/s and its stability and nucleation behavior has been discussed [11].,10.1016/j.jallcom.2004.09.019,Cu30Ni7.5P20Pd42.5,0.067,K/s,-1.173925197
"Synthesis and mechanical properties of an amorphous Zr–Ni–Al–Cu alloy. Inoue [5] succeeded in finding new multicomponent alloy systems, especially Zr-based alloys, produced with lower critical cooling rates 0.1–10K/s. The lowest critical cooling rate (R c) for the formation of a glassy phase has been reported as low as 0.067K/s for Pd42.5Cu30Ni17.5P20 alloy [6].",10.1016/j.jallcom.2005.12.008,Cu30Ni17.5P20Pd42.5,0.067,K/s,-1.173925197
"The effects of Si substitution on the glass forming ability of Ni–Pd–P system, a DFT study on crystalline related clusters. Inoue and coworkers had found new multicomponent BMGs with excellent glass-formation ability (GFA) [7], for example: Mg-, Ln–Zr-, Fe-, Pd–Cu-, Pd–Fe-, Ti- and Ni-based alloy systems. In this context, Pd40Ni10CuCuP20 and Pd42.5Ni7.5Cu30P20 have the lowest critical cooling rate of 0.10 and 0.067K/s, which can be associated to the best GFA [8,9].",10.1016/j.jnoncrysol.2014.01.001,Cu30Ni7.5P20Pd42.5,0.067,K/s,-1.173925197
"Detailed structural analysis of amorphous Pd40Cu40P20: Comparison with the metallic glass Pd40Ni40P20 from the viewpoint of glass forming ability. This finding indicates a large size arrangement of Ni atoms, which may set the expectations for the excellent GFA of PNP beyond the original PH article [25]. To confirm such structure-property relationships, a further systematic work is necessary on partial structures of a Pd 42.5 Ni 7.5 Cu 30 P20 (PNCP) bulk metallic glass, which is mostly the mixture of PNP and PCP, and shows a champion critical cooling rate of 0.067 K/s at present forming a massive bulk glass with a diameter of more than 40 mm [38].",10.1016/j.jnoncrysol.2020.120536,Cu30Ni7.5P20Pd42.5,0.067,K/s,-1.173925197
"Simultaneous and different nucleation modes in undercooled Pd–Cu–Ni–P melts. The conventional PCNP-0 and the similar Pd43Cu27Ni10P20 alloy appear to show a slightly off-eutectic composition. More recently, we have found that a new Pd42.5Cu30Ni7.5P20 alloy (PCNP-7) has the lowest R c of 0.067K/s [13].",10.1016/j.msea.2003.10.146,Cu30Ni7.5P20Pd42.5,0.067,K/s,-1.173925197
"Brazing of Cu with Pd-based metallic glass filler. Bulk metallic glass is ordinarily fabricated from a molten base alloy by the melt spinning method or casting method. Some types of metallic glass, such as Mg- [1], Zr- [2,3], Fe- [4,5], Pd- [6] and Ni-based [7] alloys, have a low critical cooling rate, R c. Especially, Pd42.5Cu30Ni7.5P20 has an R c of 0.067K/s [8].",10.1016/j.mseb.2007.09.084,Cu30Ni7.5P20Pd42.5,0.067,K/s,-1.173925197
"Metallic glasses…on the threshold. At present the largest diameter cast into a fully glassy state appears to be 72 mm ^(6) . As the critical cooling rate for glass formation for the alloy in question, Pd40Cu30Ni10P20, can be markedly decreased ^(7) by fluxing treatments to be 0.067 K s^(-1), it is likely that 72 mm is far from any fundamental limit.",10.1016/S1369-7021(09)70037-9,Cu30Ni10P20Pd40,0.067,K/s,-1.173925197
"Simultaneous and different nucleation modes in undercooled Pd–Cu–Ni–P melts. Since the first report of the Pd40Cu30Ni10P20 (PCNP-0) alloy with a low critical cooling rate for glass formation (R c) of 0.100K/s [1–6], several properties of the undercooled melt [7–10] were investigated due to its exceptional high thermal stability and retarded crystallization kinetics. Recently, Schroers et al. reported that a slightly lower R c of 0.09K/s was obtained for a similar Pd43Cu27Ni10P20 alloy [11].",10.1016/j.msea.2003.10.146,Cu27Ni10P20Pd43,0.09,K/s,-1.045757491
"Design of new Zr–Al–Ni–Cu bulk metallic glasses. Many kinds of BMGs have been developed including Mg-, La-, Zr-, Ti-, Cu-, Nd-, Fe-, Pr-, Pd-, Ce-, Ca-, and other rare earth-based [7–12]. At present, the lowest critical cooling rate for BMG formation is as low as 0.10K/s for the Pd40Cu30Ni10P20 alloy and the maximum dimension with full amorphous state reaches values as large as about 10cm [13].",10.1016/j.jallcom.2008.01.016,Cu30Ni10P20Pd40,0.1,K/s,-1
"Glass forming ability and thermal stability of Ni63Cu9Fe8P20 melt spun ribbon. On the other hand, analysis of available binary and ternary phase diagrams containing Ni, Pd, Cu and P indicates that there are deep eutectics [11], which show a good glass forming ability, especially in compositions where one of the constituents is P. This feature in connection with sufficiently large difference of atomic diameters indicates that there is a chance to obtain the compositions with a large glass forming ability. This expectation is confirmed by the studies of Pd40Ni40P20 alloy [12,13] presenting the critical cooling rate as low as 0.16K/s as well as the Pd40Ni10Cu30P20 alloy [14] with the critical cooling rate of 0.1K/s.",10.1016/j.jnoncrysol.2004.07.055,Cu30Ni10P20Pd40,0.1,K/s,-1
"The effects of Si substitution on the glass forming ability of Ni–Pd–P system, a DFT study on crystalline related clusters. Inoue and coworkers had found new multicomponent BMGs with excellent glass-formation ability (GFA) [7], for example: Mg-, Ln–Zr-, Fe-, Pd–Cu-, Pd–Fe-, Ti- and Ni-based alloy systems. In this context, Pd40Ni10CuCuP20 and Pd42.5Ni7.5Cu30P20 have the lowest critical cooling rate of 0.10 and 0.067K/s, which can be associated to the best GFA [8,9].",10.1016/j.jnoncrysol.2014.01.001,Cu2Ni10P20Pd40,0.1,K/s,-1
"Simultaneous and different nucleation modes in undercooled Pd–Cu–Ni–P melts. Since the first report of the Pd40Cu30Ni10P20 (PCNP-0) alloy with a low critical cooling rate for glass formation (R c) of 0.100K/s [1–6], several properties of the undercooled melt [7–10] were investigated due to its exceptional high thermal stability and retarded crystallization kinetics. Recently, Schroers et al. reported that a slightly lower R c of 0.09K/s was obtained for a similar Pd43Cu27Ni10P20 alloy [11].",10.1016/j.msea.2003.10.146,Cu30Ni10P20Pd40,0.1,K/s,-1
"Parameters governing glass formation: A view from phase selection. For example, Pd40Cu30Ni10P20, as the best glass former known so far with critical cooling rate of 0.1K/s [34,35], has the lowest value of 214K, while the well-known non-glass forming alloy Ag–Cu has the highest (T e - T g) value of 732K, about 3.5 times that of for Pd40Cu30Ni10P20 (numbers indicates at: %, T g for Ag–Cu was approximated to be 0.25T m according to [36], where T m is the weighted melting point). However, the critical cooling rate for the latter is estimated to exceed 10^(10) K/s, much higher than that for the former.",10.1016/j.msea.2006.02.330,Cu30Ni10P20Pd40,0.1,K/s,-1
"Brazing of Cu with Pd-based metallic glass filler. These intermetallic compounds are brittle, so the mechanical strength of crystallized Pd40Cu30Ni10P20 alloy is less than that of the amorphous state. But, the results showed Pd40Cu30Ni10P20 filler could be joined to Cu in the amorphous state, since the metallic glass filler was quenched at the rate of 30K/s, which is faster than the critical cooling rate of the Pd40Cu30Ni10P20 filler (R c =0.1K/s).",10.1016/j.mseb.2007.09.084,Cu30Ni10P20Pd40,0.1,K/s,-1
"Bulk metallic glasses. The work of Inoue opened the door to the design of new families of BMGs [16] and attention was once again focussed on the investigation on BMG [11,16]. Many kinds of BMGs have been developed including MgCuY, LaAlNi, ZrAlNiCu, ZrAlNiCu(Ti, Nb), ZrTiCuNiBe, TiNiCuSn, CuZrTiNi, NdFeCoAl, LaAlNi, FeCoNiZrNbB, FeAlGaPCB, PrCuNiAl, PdNiCuP, etc. At present, the lowest critical cooling rate for BMG formation is as low as 0.10K/s for the Pd40Cu30Ni10P20 alloy and the maximum sample thickness reaches values as large as about 10cm [21].",10.1016/j.mser.2004.03.001,Cu30Ni10P20Pd40,0.1,K/s,-1
"Microstructures and properties of high-entropy alloys. Ternary, quaternary, or alloys with more constituent elements can form glasses in bulk forms at a slow cooling rate. Particularly, the GFA of certain multi-component alloys is close to that of the oxide glass; the critical cooling rate for the VIT-1 alloy is only 0.1Ks^(-1), and the critical size for glass formation reaches over 70mm in diameter [227].",10.1016/j.pmatsci.2013.10.001,Be22.5Cu12.5Ni10Ti13.8Zr41.2,0.1,K/s,-1
"Study of frequency dependence modulus of bulk amorphous alloys around the glass transition by dynamic mechanical analysis. In this study, we compare the frequency dependence of storage and loss moduli of two bulk amorphous alloys; Pd40Ni10Cu30P20 and La55Al25Cu10Ni5Co5. Pd40Ni10Cu30P20 amorphous alloy is one of the best metallic glass former known so far with a critical cooling rate of only 0.1 K/s sufficient to avoid crystallization and to obtain bulk metallic glass castings of up to 72 mm in diameter [3].",10.1016/S0966-9795(02)00143-7,Cu30Ni10P20Pd40,0.1,K/s,-1
"Supercooling investigation and critical cooling rate for glass formation in Pd–Cu–Ni–P alloy. Some other nucleation mechanisms, i.e. quenched-in nucleus or additional nucleation are also discussed. The previously obtained results of undercooling investigation in the Pd40Cu30Ni10P20 alloy[13]were re-analyzed in the present study, because the Pd40Cu30Ni10P20 alloy exhibits the lowest R c of 0.100K/s in the fluxed state.",10.1016/S1359-6454(99)00030-0,Cu30Ni10P20Pd40,0.1,K/s,-1
"Glass forming ability and thermal stability of Ni63Cu9Fe8P20 melt spun ribbon. On the other hand, analysis of available binary and ternary phase diagrams containing Ni, Pd, Cu and P indicates that there are deep eutectics [11], which show a good glass forming ability, especially in compositions where one of the constituents is P. This feature in connection with sufficiently large difference of atomic diameters indicates that there is a chance to obtain the compositions with a large glass forming ability. This expectation is confirmed by the studies of Pd40Ni40P20 alloy [12,13] presenting the critical cooling rate as low as 0.16K/s as well as the Pd40Ni10Cu30P20 alloy [14] with the critical cooling rate of 0.1K/s.",10.1016/j.jnoncrysol.2004.07.055,Ni40P20Pd40,0.16,K/s,-0.795880017
"12 Functional bulk metallic glasses. Up until now, this glass is one of the best BMGs and represents the densest packing in zirconium-based compositions [21]. In 1997, Inoue and coworkers [12] obtained cylinders of diameter up to 75mm of Pd40Cu30Ni10P20 BMG at the critical cooling rate of 0.167Ks^(-1) using B2O3 flux treatment.",10.1016/B978-0-12-805056-9.00012-X,Cu30Ni10P20Pd40,0.167,K/s,-0.777283529
"On the bulk glass formation in the ternary Pd-Ni-S system. From the technological point of view, one major motivation for the use of sulfur instead of phosphorous in glass forming systems is its better processability due to the existence of a stable liquid phase under ambient pressure and the absence of toxic modifications, simplifying the alloying process. Up to now, the ternary metallic alloy composition with the highest glass forming ability (GFA) is the near eutectic composition Pd40Ni40P20, showing a critical cooling rate as low as 0.17 K^(-1) [17–19], resulting in casting diameters of up to 25 mm [20].",10.1016/j.actamat.2018.07.039,Ni40P20Pd40,0.17,K/s,-0.769551079
"Assessing continuous casting of precious bulk metallic glasses. The cooling rates, computed from the first derivatives of temperature with time, are comparable at approximately 15 K/s to 17 K/s. According to literature this is clearly higher than the critical cooling rate reported for Pd43Ni10Cu27P20 (0.2 K/s [22], after fluxing), but slightly lower than that documented for Pt57.3Cu14.6Ni5.3P22.8 (≈20 K/s [23,24], after fluxing).",10.1016/j.jnoncrysol.2018.09.035,Cu27Ni10P20Pd43,0.2,K/s,-0.698970004
"Materials properties measurements and particle beam interactions studies using electrostatic levitation. The experiments were carried out with spherical, 2.5–3mm diameter, glass samples. The measured critical cooling rates leading to glass formation, for the processed LS and Pt-LS glasses, were 14±2°C/min and 130±5°C/min, respectively.",10.1016/j.mser.2013.12.001,Li2O6Si2,0.233333333,K/s,-0.632023215
"A new DTA method for measuring critical cooling rate for glass formation. The primary difference between the compositions was that VP2212 contained about 1.1wt% Al2O3, but VP2076 was alumina-free. In addition to the Li-disilicate melts, a 38Na2O–62SiO2 (mol%) glass with a known R c (∼19°C/min [7]) was also characterized.",10.1016/j.jnoncrysol.2005.03.029,Na76Si62O162,0.316666667,K/s,-0.499397649
"A new DTA method for measuring critical cooling rate for glass formation. The nose temperature (T n) and nose time (t n) as estimated from Fig. 12(a) and (b) are 775°C and 5min for the VP2212 melt, and 818°C and 2min for the VP2076 melt. Based on these results, R c for the VP2212 melt is ∼30°C/min, and ∼42°C/min for the VP2076 melt.",10.1016/j.jnoncrysol.2005.03.029,VP2212,0.5,K/s,-0.301029996
"A new DTA method for measuring critical cooling rate for glass formation. For the 38Na2O–62SiO2, mol%, melt, analysis of Fig. 9 (and also Fig. 8(a)) predicts a critical cooling rate (R c) of 19±1°C/min. This is in excellent agreement with the value of 19°C/min determined for this composition by standard techniques [7], and this agreement strongly justifies the validity and usefulness of the newly developed method for measuring critical cooling rates for glass forming melts. The R c values for the VP2212 (Fig. 8(b)) and VP2076 (Fig. 8(c)) melts are 33±1°C/min and 41±2°C/min, respectively.",10.1016/j.jnoncrysol.2005.03.029,VP2212,0.55,K/s,-0.259637311
"Prediction of the glass forming ability in Cu–Zr binary and Cu–Zr–Ti ternary alloys. For example, the fragility parameters for Cu64Zr26 and Cu60Zr32.5Ti7.5 alloys are 9.3 and 8.31, which are highest among the Cu–Zr binary and ternary alloys, respectively. These two alloys also have the lowest critical cooling rate of 4.32×10^(2) K/s and 0.64K/s.",10.1016/j.intermet.2007.07.008,Cu60Ti7.5Zr32.5,0.64,K/s,-0.193820026
"A new DTA method for measuring critical cooling rate for glass formation. For the 38Na2O–62SiO2, mol%, melt, analysis of Fig. 9 (and also Fig. 8(a)) predicts a critical cooling rate (R c) of 19±1°C/min. This is in excellent agreement with the value of 19°C/min determined for this composition by standard techniques [7], and this agreement strongly justifies the validity and usefulness of the newly developed method for measuring critical cooling rates for glass forming melts. The R c values for the VP2212 (Fig. 8(b)) and VP2076 (Fig. 8(c)) melts are 33±1°C/min and 41±2°C/min, respectively.",10.1016/j.jnoncrysol.2005.03.029,VP2076,0.683333333,K/s,-0.165367394
"A new DTA method for measuring critical cooling rate for glass formation. This is primarily the result of smaller, less sharp crystallization peaks (on cooling) for the VP2212 melt. The values of R c determined from the intercept of the straight lines in Fig. 13(a) and (b) on the lnR axis are ∼41 and ∼53°C/min for the VP2212 and VP2076 melts, respectively.",10.1016/j.jnoncrysol.2005.03.029,VP2212,0.683333333,K/s,-0.165367394
"A new DTA method for measuring critical cooling rate for glass formation. The nose temperature (T n) and nose time (t n) as estimated from Fig. 12(a) and (b) are 775°C and 5min for the VP2212 melt, and 818°C and 2min for the VP2076 melt. Based on these results, R c for the VP2212 melt is ∼30°C/min, and ∼42°C/min for the VP2076 melt.",10.1016/j.jnoncrysol.2005.03.029,VP2076,0.7,K/s,-0.15490196
"Determination of forming ability of high pressure die casting for Zr-based metallic glass. For example, Hng et al. (1996) found the computed critical cooling rate of a Zr66Ni26Al8 BMG changes from 0.81K/s to 260K/s by using the fitted viscosity obtained by using above different assumptions. Therefore, it is essential to obtain the viscosity-temperature fitted data based on experimental measurements in order to obtain a more realistic estimation of the critical cooling rate to predict critical size of Zr55Y0.2 metallic glass by HPDC.",10.1016/j.jmatprotec.2017.01.015,Al8Ni26Zr66,0.81,K/s,-0.091514981
"Bulk metallic glass composites containing B2 phase. By contrast, Co [4,73,133,153,155,163,164,287,288] and Hf [133,285] deteriorate the GFA. For example, for as-cast (Cu0.5Zr0.5)100-xAgx (x = 0, 2, 6, 10 at.%%) BMGs, with increasing Ag from 0 to 10 at.%%, the critical cooling rate ( R c ) decreases from 9.74 to 0.81 K/s [104].",10.1016/j.pmatsci.2021.100799,Ag10Cu45Zr45,0.81,K/s,-0.091514981
"A new DTA method for measuring critical cooling rate for glass formation. This is primarily the result of smaller, less sharp crystallization peaks (on cooling) for the VP2212 melt. The values of R c determined from the intercept of the straight lines in Fig. 13(a) and (b) on the lnR axis are ∼41 and ∼53°C/min for the VP2212 and VP2076 melts, respectively.",10.1016/j.jnoncrysol.2005.03.029,VP2076,0.883333333,K/s,-0.053875381
"Prediction of the glass forming ability in Cu–Zr binary and Cu–Zr–Ti ternary alloys. Their corresponding critical cooling rates are listed in Table 6. It is seen that the critical cooling rates are reduced to 1.38×10^(2) K/s, 1.80×10^(2) K/s and 2.13×10^(2) K/s (Turnbull method), and 0.64K/s, 0.96K/s and 0.89K/s (TS method) for Cu60Zr32.5Ti7.5, Cu60Zr30Ti10 and Cu50Zr42.5Ti7.5 alloys, respectively.",10.1016/j.intermet.2007.07.008,Cu50Ti7.5Zr42.5,0.89,K/s,-0.050609993
"Prediction of the glass forming ability in Cu–Zr binary and Cu–Zr–Ti ternary alloys. Their corresponding critical cooling rates are listed in Table 6. It is seen that the critical cooling rates are reduced to 1.38×10^(2) K/s, 1.80×10^(2) K/s and 2.13×10^(2) K/s (Turnbull method), and 0.64K/s, 0.96K/s and 0.89K/s (TS method) for Cu60Zr32.5Ti7.5, Cu60Zr30Ti10 and Cu50Zr42.5Ti7.5 alloys, respectively.",10.1016/j.intermet.2007.07.008,Cu60Ti10Zr30,0.96,K/s,-0.017728767
"Metallic Glasses. While rapid quenching of the liquid by melt-spinning is the most common production method for metallic glasses, it is not necessary for all alloys. The multicomponent alloy Zr41.2Ti13.8Cu12.5Ni10.0Be22.5 (at.%%), for example, has a critical cooling rate for glass formation of ∼1Ks^(-1), permitting casting to a fully glassy state in cross-sections of a few centimeters in conventional chill molds (Johnson 1999).",10.1016/B0-08-043152-6/00967-0,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1,K/s,0
"12 Functional bulk metallic glasses. The usual metallic glasses have poor GFA, and their critical cooling rate (R c) for the glass formation varies in the range of 104–107Ks^(-1). Whereas the R c of the BMGs ranges from 1 to 100Ks^(-1), for example, the R c of Vit1 is lower than 1Ks^(-1).",10.1016/B978-0-12-805056-9.00012-X,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1,K/s,0
"Chapter 17 Chalcogenides for Phase-Change Memory. The temperature dependence of relative enthalpy, H, for PC processes is shown in Fig. 17.2 . The schematic form of H(T) is based on that for the bulk-metallic-glass-forming composition Zr52.5Cu17.9Ni14.6Al10.0Ti5.0 (at.%%) with a critical cooling rate of ~1Ks^(-1) [4], because similar data cannot be measured for the fast-crystallizing PC chalcogenides.",10.1016/B978-0-444-64062-8.00014-0,Al10Cu17.9Ni14.6Ti5Zr52.5,1,K/s,0
"Thermodynamics, enthalpy relaxation and fragility of the bulk metallic glass-forming liquid Pd43Ni10Cu27P20. The Gibbs free energy difference between liquid and crystal, ΔG ^(l–x)(T), as a function of temperature is plotted in Fig. 11 together with values of other bulk metallic glass-forming liquids [2,12,36,38,41–43]. It is evident that the Pd43Ni10Cu27P20 alloy has a very low driving force for crystal nucleation, which is even lower than that of Zr41.2Ti13.8Cu12.5Ni10Be22.5 (Vit1), which has a critical cooling rate of 1 K/s.",10.1016/j.actamat.2003.10.003,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1,K/s,0
"Enthalpy relaxation and its relation to the thermodynamics and crystallization of the Zr58.5Cu15.6Ni12.8Al10.3Nb2.8 bulk metallic glass-forming alloy. The entropy of fusion and the critical cooling rate of V106a are 8.03J/g-atom/K and 1.75K/s, respectively, which are comparable to the values of about 8.8J/g-atom/K and 1K/s for Zr41.2Ti13.8Cu12.5Ni10.0Be22.5 (Vit1) [10]. These values are relatively small if compared with those of the ternary Mg64Cu25Y10 (about 11J/g-atom/K and 50K/s) [9], and those of the binary Zr62Ni38, which is known of having critical cooling rates of 10^(4) K/s [9,22].",10.1016/j.actamat.2006.09.040,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1,K/s,0
"The influence of shear rate and temperature on the viscosity and fragility of the Zr41.2Ti13.8Cu12.5Ni10.0Be22.5 metallic-glass-forming liquid. Vit1 samples obtained from Liquidmetal Technologies are dehydrogenated at elevated temperature in a high vacuum environment and quenched to attain an amorphous state. In addition, dehydrogenated fully microcrystallized Vit1, with an estimated average microstructure length scale of 10^(-3) m [5], are prepared by cooling the melt slower than the critical cooling rate of 1Ks^(-1).",10.1016/j.actamat.2006.12.032,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1,K/s,0
"Atomic structure of Zr41.2Ti13.8Cu12.5Ni10Be22.5 bulk metallic glass alloy. In this work, we present a detailed investigation of atomic structure of the vit1 BMG alloy by AIMD calculations. We chose the vit1 BMG alloy as the model system because it exhibits extraordinary GFA with a critical cooling rate as low as 1Ks^(-1) and up to 50mm in the critical dimension, large stability against crystallization in the supercooled liquid region and excellent mechanical properties [23–26].",10.1016/j.actamat.2008.09.022,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1,K/s,0
"Elastic and viscoelastic properties of glassy, quasicrystalline and crystalline phases in Zr65Cu5Ni10Al7.5Pd12.5 alloys. Zr-based glassy alloys have a high glass-forming ability (GFA) compared to other transition metal (TM)-based alloys. Zr–LTM and Zr–LTM–NM (LTM=late transition metals; NM=noble metals) glassy alloys exhibit large critical diameters up to 30mm and critical cooling rates below 10Ks^(-1) [10,11], while Zr–LTM–Ti–Be alloys (e.g. Vit1) exhibit even lower critical cooling rates of about 1Ks^(-1) [12].",10.1016/j.actamat.2011.01.018,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1,K/s,0
"Prediction of the glass forming ability in Cu–Zr binary and Cu–Zr–Ti ternary alloys. The values predicated by former equation seem larger, but those by latter is lower than the practical cooling rate. The deduction is easily obtained just by comparing these values with the critical cooling rate of Vit 1 alloy, of which the cooling rate is about 1K/s, and the critical thickness may reach as large as 50mm.",10.1016/j.intermet.2007.07.008,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1,K/s,0
"Glass forming ability and a novel method for evaluating the thermoplastic formability of Zr x Ti65-x Be27.5Cu7.5 alloys. Coincidentally, this unusual phenomenon has been observed intensively. It is found that La55Al25Ni20 (R c = 67.5 K/s) and La55Al25Cu5Ni10Co5 (R c = 18.8 K/s) present lower values of ΔG than Vit1 (R c = 1 K/s) [76].",10.1016/j.intermet.2019.106600,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1,K/s,0
"Synthesis and characterization of copper fiber reinforced Zr41.2Ti13.8Cu12.5Ni10.0Be22.5 bulk metallic glass. Molten Vitreloy1 was infiltrated into the copper fibers using pressure-gravity method, with the help of Argon at a pressure of about 50kPa. Quenching was done within 60s in a water bucket to ensure the cooling rate higher than the required critical cooling rate of 1K/s for Vitreloy1.",10.1016/j.jallcom.2006.08.295,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1,K/s,0
"Wf/Zr41.2Ti13.8Cu12.5Ni10Be22.5 bulk metallic glass composites prepared by a new melt infiltrating method. Bulk metallic glasses (BMGs) have many potential applications due to their unique properties, such as superior strength and hardness, excellent corrosion resistance and high wear resistance [1–5]. The Zr41.2Ti13.8Cu12.5Ni10Be22.5 (Vitreloy 1) BMG exhibits an exceptional glass forming ability with a critical cooling rate of ∼1K/s as well as shows a tensile strength of 1.9GPa and an elastic strain limit of 2% under compressive or tensile loading [6–8].",10.1016/j.jallcom.2010.02.045,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1,K/s,0
