Material composition,Material composition site,Abbreviated name,Electrolyte class,Is well studied? (>4 materials),Log ASR (Ohm-cm2) at T=773 K,Log ASR (Ohm-cm2) at T=873 K,Log ASR (Ohm-cm2) at T=973 K,Log ASR (Ohm-cm2) at T=1073 K,ML pred ASR barrier (eV)
SrCo0.9Y0.1O3,[Sr][Co0.9Y0.1],SCY10,perovskite,0,0.5,-0.278426881,-0.896848236,-1.4,1.081152365
SrCo0.8Y0.2O3,[Sr][Co0.8Y0.2],SCY20,perovskite,0,1.05,0.16914853,-0.530644056,-1.1,1.165923344
SrFe0.75Cr0.25O3,[Sr][Fe0.75Cr0.25],SFCr25,perovskite,0,1.305048724,0.311608584,-0.477630088,-1.119759967,1.295281178
SrFe0.9Hf0.1O3,[Sr][Fe0.9Hf0.1],SFH10,ceria,0,0.244896877,-0.635129814,-1.334267155,-1.903089987,1.242756117
SrFe0.8Mo0.2O3,[Sr][Fe0.8Mo0.2],SFMo20,perovskite,0,1.441502261,0.427172681,-0.37866161,-1.034293796,1.296505973
SrFe0.9Nb0.1O3,[Sr][Fe0.9Nb0.1],SFN10,ceria,0,0.749076969,-0.298349754,-1.130478075,-1.807503261,1.362763667
SrFe0.8Nb0.2O3,[Sr][Fe0.8Nb0.2],SFN20,ceria,0,0.861994066,-0.040056836,-0.756691314,-1.339749934,1.23185872
SrFe0.8Nb0.1Ta0.1O3,[Sr][Fe0.8Nb0.1Ta0.1],SFNTa,ceria,0,0.659159341,-0.259637311,-0.989575452,-1.583458021,1.172974327
SrFeO3,[Sr][Fe],SFO,zirconia,0,1.20923999,0.112475301,-0.758849576,-1.467765342,1.418154568
SrFeO3,[Sr][Fe],SFO,mixed,0,0.71791326,-0.301029996,-1.110529622,-1.76914395,1.37237551
SrFeO3,[Sr][Fe],SFO,ceria,1,1.350766351,0.216770673,-0.684132369,-1.417113129,1.45317773
SrFeO3,[Sr][Fe],SFO,perovskite,0,1.720078545,0.694416377,-0.12042109,-0.78337832,1.394624163
SrSc0.175Nb0.025Fe0.8O3,[Sr][Sc0.175Nb0.025Fe0.8],SFScN80,ceria,0,0.419442721,-0.554115813,-1.327559541,-1.956838548,1.279980024
SrSc0.025Nb0.075Fe0.9O3,[Sr][Sc0.025Nb0.075Fe0.9],SFScN90,ceria,0,0.397940009,-0.548851408,-1.301029996,-1.913007542,1.264746432
SrFe0.90Si0.10O3,[Sr][Fe0.90Si0.10],SFSi,ceria,0,1.94531533,0.67,-0.34317446,-1.1675,1.661320829
SrFe0.9Ti0.1O3,[Sr][Fe0.9Ti0.1],SFT10,ceria,0,0.10795749,-0.749442546,-1.430604137,-1.984801778,1.181342423
SrFe0.9Ti0.1O3,[Sr][Fe0.9Ti0.1],SFT10,perovskite,0,0.714652886,-0.14274715,-0.823908741,-1.378106382,1.17402014
SrFe0.8Ta0.2O3,[Sr][Fe0.8Ta0.2],SFTa20,ceria,0,1.956442392,0.653212514,-0.382138664,-1.224507329,1.544329879
SrFe0.9Zr0.1O3,[Sr][Fe0.9Zr0.1],SFZ10,ceria,0,1.493014764,0.38073964,-0.502907504,-1.22184875,1.398181647
SrFe0.8Zr0.2O3,[Sr][Fe0.8Zr0.2],SFZ20,ceria,0,1.108412923,0.153708541,-0.604756501,-1.22184875,1.277212982
Sr0.9K0.1FeO3,[Sr0.9K0.1][Fe],SKF,ceria,0,0.866279001,-0.207188112,-1.060004225,-1.753861137,1.360525553
Sr0.9K0.1Fe0.1Co0.9O3,[Sr0.9K0.1][Fe0.1Co0.9],SKFC19,ceria,0,-0.382051741,-1.097298556,-1.665526498,-2.127840565,0.998705894
Sr0.9K0.1Fe0.3Co0.7O3,[Sr0.9K0.1][Fe0.3Co0.7],SKFC37,ceria,0,0.047229995,-0.850221139,-1.563201331,-2.1432868,1.168310701
Sr0.9K0.1Fe0.5Co0.5O3,[Sr0.9K0.1][Fe0.5Co0.5],SKFC55,ceria,0,0.187530119,-0.731010643,-1.460745493,-2.054462663,1.210035106
Sr0.95K0.05Fe0.8Nb0.1Ta0.1O3,[Sr0.95K0.05][Fe0.8Nb0.1Ta0.1],SKFNTa,ceria,0,0.079181246,-0.743979682,-1.397940009,-1.930006518,1.111649266
Sr0.95Li0.05Fe0.8Nb0.1Ta0.1O3,[Sr0.95Li0.05][Fe0.8Nb0.1Ta0.1],SLiFNTa,ceria,0,-0.045757491,-0.868918419,-1.522878745,-2.054945255,1.105169817
SmCoO3,[Sm][Co],SmCO,ceria,0,3.714586028,2.5,1.535071942,0.75,1.588397016
Sr0.95Na0.05Fe0.8Nb0.1Ta0.1O3,[Sr0.95Na0.05][Fe0.8Nb0.1Ta0.1],SNaFNTa,ceria,0,0.397940009,-0.406594737,-1.045757491,-1.565784595,1.104270457
Sm0.2Sr0.8CoO3,[Sm0.2Sr0.8][Co],SSC28,ceria,0,1.204119983,0.199027092,-0.599469109,-1.249130977,1.33357892
Sm0.5Sr0.5CoO3,[Sm0.5Sr0.5][Co],SSC55,ceria,1,0.536555125,-0.31343262,-0.988705515,-1.538112073,1.248215452
Sm0.5Sr0.5CoO3,[Sm0.5Sr0.5][Co],SSC55,perovskite,1,2.313445632,1.191497115,0.300164943,-0.425028893,1.379591062
Sm0.8Sr0.2CoO3,[Sm0.8Sr0.2][Co],SSC82,ceria,0,1.146128036,0.126099885,-0.684261636,-1.343577207,1.45318851
Sm0.5Sr0.5Co0.8Fe0.2O3,[Sm0.5Sr0.5][Co0.8Fe0.2],SSCF5582,perovskite,0,1.908396619,0.835736843,-0.016437882,-0.709772956,1.362058545
Sm0.5Sr0.5Co0.9Nb0.1O3,[Sm0.5Sr0.5][Co0.9Nb0.1],SSCN,ceria,0,0.10857362,-0.629590194,-1.216024549,-1.693151476,1.028927148
Sm0.3Sr0.7Nb0.08Co0.92O3,[Sm0.3Sr0.7][Nb0.08Co0.92],SSCN10,ceria,0,-0.385102784,-1.207608311,-1.861047953,-2.392690831,1.061111419
SmSrCo2O5,[SmSr][Co2],SSCO,ceria,0,0.434294482,-0.529958662,-1.29600972,-1.919274002,1.257851153
SrSc0.075Ta0.025Fe0.9O3,[Sr][Sc0.075Ta0.025Fe0.9],SScTaF,ceria,0,0,-1.016416498,-1.823908741,-2.480889849,1.300782616
Sm0.5Sr0.5FeO3,[Sm0.5Sr0.5][Fe],SSF,ceria,0,1.183561264,0.366102111,-0.283328439,-0.811709493,1.157322964
Sm0.5Sr0.5MnO3,[Sm0.5Sr0.5][Mn],SSM,ceria,0,3.834465995,2.779740751,1.941814119,1.260071388,1.298886141
SrTi0.65Fe0.35O3,[Sr][Ti0.65Fe0.35],STF35,zirconia,0,1.08551372,0.164020356,-0.568060188,-1.163685831,1.205891589
SrTi0.2Fe0.8O3,[Sr][Ti0.2Fe0.8],STF80,zirconia,0,1.006332474,0.08483911,-0.647241434,-1.242867077,1.211935771
Sr0.7Y0.3CoO3,[Sr0.7Y0.3][Co],SYC,perovskite,0,1.650319031,0.582740614,-0.265397224,-0.95544786,1.384457423
YBaCo2O5,[YBa][Co2],YBCO,perovskite,0,-0.247726492,-0.643881727,-0.958607315,-1.214670165,0.754822199
YBaCo2O5,[YBa][Co2],YBCO,ceria,0,1.153212514,0.253983362,-0.460409377,-1.041644103,1.073710006
YBaFe2O5,[YBa][Fe2],YBFO,ceria,0,2.072924706,0.954242509,0.065505266,-0.657577319,1.432587292
YBa0.5Sr0.5Co2O5,[YBa0.5Sr0.5][Co2],YBSCO,ceria,0,0.954242509,0.200706662,-0.397940009,-0.885002957,1.047025013
