formula,c,mn,si,cr,ni,mo,v,n,nb,co,w,al,ti,yield strength,tensile strength,elongation,composition,MagpieData mean Number,MagpieData mean MendeleevNumber,MagpieData mean AtomicWeight,MagpieData mean MeltingT,MagpieData mean Column,MagpieData mean Row,MagpieData mean CovalentRadius,MagpieData mean Electronegativity
Fe0.650C0.000477Mn0.000522Si0.00102Cr0.000110Ni0.176Mo0.0215V0.000113Nb0.0000617Co0.126Al0.00170Ti0.0225,0.01,0.05,0.05,0.01,18.0,3.6,0.01,0.0,0.01,13.0,0.0,0.08,1.88,2411.5,2475.8,7.7,Fe0.65 C0.000477 Mn0.000522 Si0.00102 Cr0.00011 Ni0.176 Mo0.0215 V0.000113 Nb6.17e-05 Co0.126 Al0.0017 Ti0.0225,26.687961954540764,56.11731326594091,57.32093725568815,1816.556060742575,8.361214563506115,4.017887633815755,130.88094354050887,1.8507891120802848
Fe0.652Mn0.000522Si0.00102Cr0.000110Ni0.177Mo0.0209V0.000113Nb0.0000617Co0.126Al0.00212Ti0.0194,0.0,0.05,0.05,0.01,18.1,3.5,0.01,0.0,0.01,13.0,0.0,0.1,1.62,2331.1,2397.7,9.3,Fe0.652 Mn0.000522 Si0.00102 Cr0.00011 Ni0.177 Mo0.0209 V0.000113 Nb6.17e-05 Co0.126 Al0.00212 Ti0.0194,26.697369828691958,56.1614583265574,57.3343621604835,1814.0931247508752,8.376337394959625,4.017835135207352,130.7941230128656,1.8511502815070593
Fe0.655C0.00752Mn0.000103Si0.000201Cr0.147Ni0.0000961Mo0.0276V0.00443N0.00161Nb0.0000607Co0.155Al0.000836,0.16,0.01,0.01,13.56,0.01,4.7,0.4,0.04,0.01,16.2,0.0,0.04,0.0,1274.7,1949.9,12.0,Fe0.655 C0.00752 Mn0.000103 Si0.000201 Cr0.147 Ni9.61e-05 Mo0.0276 V0.00443 N0.00161 Nb6.07e-05 Co0.155 Al0.000836,26.09609189711852,54.63329380519498,56.4193722474154,1901.7977277457117,7.8541138546458455,4.008368245631027,132.26852346194457,1.8281385258472405
Fe0.655Mn0.000522Si0.00102Cr0.000110Ni0.176Mo0.0215V0.00563Nb0.0000617Co0.117Al0.000425Ti0.0228,0.0,0.05,0.05,0.01,18.0,3.6,0.5,0.0,0.01,12.0,0.0,0.02,1.9,2402.3,2468.9,8.3,Fe0.655 Mn0.000522 Si0.00102 Cr0.00011 Ni0.176 Mo0.0215 V0.00563 Nb6.17e-05 Co0.117 Al0.000425 Ti0.0228,26.687281283775803,56.003551456014975,57.321311403947554,1819.1929691930168,8.32520555837814,4.020115318077648,131.0999952303277,1.8490845378922467
Fe0.656C0.00758Mn0.000104Si0.000203Cr0.156Ni0.0000970Mo0.0424V0.00458N0.00122Nb0.0000613Co0.131Al0.000844,0.16,0.01,0.01,14.24,0.01,7.15,0.41,0.03,0.01,13.6,0.0,0.04,0.0,1460.7,2197.9,4.0,Fe0.656 C0.00758 Mn0.000104 Si0.000203 Cr0.156 Ni9.7e-05 Mo0.0424 V0.00458 N0.00122 Nb6.13e-05 Co0.131 Al0.000844,26.29645502656612,54.4231721107305,56.91659859539782,1923.0005537305515,7.779843759952234,4.0238121735728996,132.82437298349257,1.8298328859232866
Fe0.656C0.00930Mn0.000102Si0.000199Cr0.152Ni0.00875Mo0.0116V0.000110Nb0.000481Co0.161Al0.000621,0.2,0.01,0.01,14.13,0.92,1.99,0.01,0.0,0.08,17.0,0.0,0.03,0.0,1243.4,1792.3,20.8,Fe0.656 C0.0093 Mn0.000102 Si0.000199 Cr0.152 Ni0.00875 Mo0.0116 V0.00011 Nb0.000481 Co0.161 Al0.000621,25.870443117771806,54.780746738281664,55.83351325667978,1890.6165453731046,7.909538745184537,3.992662196062043,131.769843515507,1.8231512363484752
Fe0.657C0.000954Mn0.000522Si0.00102Cr0.000110Ni0.166Mo0.0243V0.00776Nb0.0000617Co0.120Al0.00340Ti0.0189,0.02,0.05,0.05,0.01,17.0,4.07,0.69,0.0,0.01,12.3,0.0,0.16,1.58,2381.6,2436.8,9.7,Fe0.657 C0.000954 Mn0.000522 Si0.00102 Cr0.00011 Ni0.166 Mo0.0243 V0.00776 Nb6.17e-05 Co0.12 Al0.0034 Ti0.0189,26.6665650361485,56.04075957095989,57.30745792659145,1822.5263690195784,8.332427691752939,4.018033200480347,131.07294007955983,1.8500966723221768
Fe0.659C0.00747Mn0.000102Si0.0134Cr0.156Ni0.0000955Mo0.0297V0.00451N0.000800Nb0.0000603Co0.128Al0.000831,0.16,0.01,0.67,14.5,0.01,5.09,0.41,0.02,0.01,13.41,0.0,0.04,0.0,1412.5,2129.0,4.0,Fe0.659 C0.00747 Mn0.000102 Si0.0134 Cr0.156 Ni9.55e-05 Mo0.0297 V0.00451 N0.0008 Nb6.03e-05 Co0.128 Al0.000831,25.942458704711587,54.767785354903076,56.05470643442134,1908.2246171780562,7.877949292017911,3.9989892684651758,132.3163384697602,1.8258456613846352
Fe0.660C0.000484Mn0.000106Si0.000207Cr0.000112Ni0.148Mo0.0364V0.000114Nb0.0000625Co0.146Al0.000646Ti0.00752,0.01,0.01,0.01,0.01,15.0,6.02,0.01,0.0,0.01,14.8,0.0,0.03,0.62,1603.3,1751.6,10.3,Fe0.66 C0.000484 Mn0.000106 Si0.000207 Cr0.000112 Ni0.148 Mo0.0364 V0.000114 Nb6.25e-05 Co0.146 Al0.000646 Ti0.00752,26.974363065528337,56.07865691193382,58.07403023649302,1833.4101370527626,8.345756996313213,4.034653576771505,130.91834604359622,1.859116302031258
Fe0.661C0.000454Mn0.0000993Si0.0375Cr0.164Ni0.0381Mo0.000114V0.000107Nb0.0000587Co0.0972Al0.000606Ti0.000684,0.01,0.01,1.93,15.6,4.1,0.02,0.01,0.0,0.01,10.5,0.0,0.03,0.06,1185.1,1453.8,18.0,Fe0.661 C0.000454 Mn9.93e-05 Si0.0375 Cr0.164 Ni0.0381 Mo0.000114 V0.000107 Nb5.87e-05 Co0.0972 Al0.000606 Ti0.000684,25.377942301557226,55.40911900216318,54.54468051546579,1860.1880900029305,8.072599190137641,3.9611557089895926,131.4668494474075,1.8126217768768202
Fe0.661C0.000475Mn0.000520Si0.00102Cr0.000110Ni0.170Mo0.0247V0.000112Nb0.0000615Co0.111Al0.0131Ti0.0177,0.01,0.05,0.05,0.01,17.5,4.15,0.01,0.0,0.01,11.5,0.0,0.62,1.48,2510.3,2570.0,7.7,Fe0.661 C0.000475 Mn0.00052 Si0.00102 Cr0.00011 Ni0.17 Mo0.0247 V0.000112 Nb6.15e-05 Co0.111 Al0.0131 Ti0.0177,26.583324039794014,56.28334859474184,57.09548727861663,1810.5391466380474,8.404090924321249,4.009693453230826,130.82937411888497,1.8495024847506771
Fe0.662C0.000477Mn0.000521Si0.00102Cr0.000110Ni0.168Mo0.0236V0.000112Nb0.0000616Co0.119Al0.00488Ti0.0213,0.01,0.05,0.05,0.01,17.2,3.95,0.01,0.0,0.01,12.2,0.0,0.23,1.78,2372.4,2441.3,8.7,Fe0.662 C0.000477 Mn0.000521 Si0.00102 Cr0.00011 Ni0.168 Mo0.0236 V0.000112 Nb6.16e-05 Co0.119 Al0.00488 Ti0.0213,26.66131172523798,56.10827149355257,57.27702067515877,1816.8465383840837,8.354336949155794,4.01678944054111,130.9656469562521,1.8501193309316646
Fe0.663C0.00329Mn0.000103Si0.000201Cr0.169Ni0.0000963Mo0.0294V0.00455N0.00121Nb0.0000608Co0.129Al0.000629,0.07,0.01,0.01,15.54,0.01,4.99,0.41,0.03,0.01,13.41,0.0,0.03,0.0,1312.6,2011.9,11.5,Fe0.663 C0.00329 Mn0.000103 Si0.000201 Cr0.169 Ni9.63e-05 Mo0.0294 V0.00455 N0.00121 Nb6.08e-05 Co0.129 Al0.000629,26.149291967408402,54.306202120234865,56.53347153626166,1905.3012603193015,7.751152602479402,4.01962020312829,132.88357897899343,1.8201907679662217
Fe0.664C0.00751Mn0.00575Si0.000201Cr0.157Ni0.0000961Mo0.0301V0.00454N0.00121Nb0.0000607Co0.128Al0.00105,0.16,0.56,0.01,14.46,0.01,5.12,0.41,0.03,0.01,13.41,0.0,0.05,0.0,1350.4,2039.4,12.0,Fe0.664 C0.00751 Mn0.00575 Si0.000201 Cr0.157 Ni9.61e-05 Mo0.0301 V0.00454 N0.00121 Nb6.07e-05 Co0.128 Al0.00105,26.08812319300366,54.45463102307933,56.40308251317385,1908.242061121873,7.7943269244429665,4.011475233357523,132.62012162264645,1.823770092938815
Fe0.664C0.00754Mn0.000103Si0.000604Cr0.152Ni0.0105Mo0.0292V0.000111Nb0.00164Co0.134Al0.000629,0.16,0.01,0.03,13.99,1.09,4.95,0.01,0.0,0.27,13.94,0.0,0.03,0.0,1169.4,1603.4,21.8,Fe0.664 C0.00754 Mn0.000103 Si0.000604 Cr0.152 Ni0.0105 Mo0.0292 V0.000111 Nb0.00164 Co0.134 Al0.000629,26.176081421375216,54.58380209671438,56.569525091409524,1908.1995093904295,7.839305547086104,4.014522251223851,132.43194775308478,1.8262416889677078
Fe0.664C0.00926Mn0.000101Si0.0101Cr0.134Ni0.00900Mo0.0114V0.000109Nb0.000479Co0.161Al0.000618,0.2,0.01,0.51,12.51,0.95,1.97,0.01,0.0,0.08,17.06,0.0,0.03,0.0,1322.1,1770.7,17.8,Fe0.664 C0.00926 Mn0.000101 Si0.0101 Cr0.134 Ni0.009 Mo0.0114 V0.000109 Nb0.000479 Co0.161 Al0.000618,25.785737355597174,55.118020092653786,55.62242043775047,1882.4374571503713,8.00558462583007,3.982642162975081,131.43170407582696,1.8268302023764411
Fe0.665C0.000468Mn0.000102Si0.000200Cr0.121Ni0.0768Mo0.0293V0.000110Nb0.0000606Co0.0823Al0.0254Ti0.000118,0.01,0.01,0.01,11.14,8.01,4.99,0.01,0.0,0.01,8.62,0.0,1.22,0.01,1870.6,1970.6,11.5,Fe0.665 C0.000468 Mn0.000102 Si0.0002 Cr0.121 Ni0.0768 Mo0.0293 V0.00011 Nb6.06e-05 Co0.0823 Al0.0254 Ti0.000118,26.120641417279124,55.30383832441466,56.26867874718565,1856.1983261171952,8.065166248259244,4.002822176878931,132.08178897598518,1.824027370100032
Fe0.666C0.000482Mn0.000105Si0.000206Cr0.000111Ni0.149Mo0.0308V0.000114Nb0.0000623Co0.150Al0.000644Ti0.00242,0.01,0.01,0.01,0.01,15.1,5.1,0.01,0.0,0.01,15.3,0.0,0.03,0.2,1580.0,1675.6,13.6,Fe0.666 C0.000482 Mn0.000105 Si0.000206 Cr0.000111 Ni0.149 Mo0.0308 V0.000114 Nb6.23e-05 Co0.15 Al0.000644 Ti0.00242,26.910952240039776,56.185454629822885,57.90478362800549,1826.4067755373974,8.383233446102947,4.029049918080438,130.6207807774893,1.8590181973135906
Fe0.666C0.00702Mn0.000102Si0.000200Cr0.157Ni0.0000958Mo0.0296V0.00508N0.00602Nb0.0000605Co0.129Al0.00104,0.15,0.01,0.01,14.48,0.01,5.06,0.46,0.15,0.01,13.49,0.0,0.05,0.0,1164.4,2032.6,4.0,Fe0.666 C0.00702 Mn0.000102 Si0.0002 Cr0.157 Ni9.58e-05 Mo0.0296 V0.00508 N0.00602 Nb6.05e-05 Co0.129 Al0.00104,26.00365264997654,54.59186203448339,56.20842064856785,1899.9665958962196,7.831333586291821,4.0023376520385225,132.30840786669603,1.830600257706037
Fe0.666C0.00751Mn0.000103Si0.000201Cr0.155Ni0.0000960Mo0.0299V0.00963N0.00161Nb0.0000607Co0.129Al0.00104,0.16,0.01,0.01,14.34,0.01,5.09,0.87,0.04,0.01,13.45,0.0,0.05,0.0,1550.3,2122.1,12.0,Fe0.666 C0.00751 Mn0.000103 Si0.000201 Cr0.155 Ni9.6e-05 Mo0.0299 V0.00963 N0.00161 Nb6.07e-05 Co0.129 Al0.00104,26.072776532576544,54.452726874060076,56.369213191517034,1910.0342541379014,7.792984097296537,4.010478120947172,132.63839819339228,1.8251471803199257
Fe0.667C0.000477Mn0.000522Si0.00102Cr0.000110Ni0.171Mo0.0233V0.000113Nb0.0000617Co0.115Al0.00361Ti0.0184,0.01,0.05,0.05,0.01,17.5,3.9,0.01,0.0,0.01,11.8,0.0,0.17,1.54,2381.6,2436.8,9.3,Fe0.667 C0.000477 Mn0.000522 Si0.00102 Cr0.00011 Ni0.171 Mo0.0233 V0.000113 Nb6.17e-05 Co0.115 Al0.00361 Ti0.0184,26.686912941527783,56.12820502057888,57.32161196361992,1817.1842037541558,8.362343529775778,4.017766796516978,130.89140974184141,1.8511889853197088
Fe0.667C0.00984Mn0.000102Si0.000200Cr0.158Ni0.0000959Mo0.0295V0.00453N0.000804Nb0.0000606Co0.129Al0.00104,0.21,0.01,0.01,14.6,0.01,5.02,0.41,0.02,0.01,13.48,0.0,0.05,0.0,1405.6,2122.1,12.0,Fe0.667 C0.00984 Mn0.000102 Si0.0002 Cr0.158 Ni9.59e-05 Mo0.0295 V0.00453 N0.000804 Nb6.06e-05 Co0.129 Al0.00104,26.04440514011333,54.51210676158362,56.298241582549004,1914.9041932266682,7.811418530303522,4.0070313870857275,132.46221226838372,1.8262276647278342
Fe0.667C0.00984Mn0.000102Si0.000200Cr0.158Ni0.0000959Mo0.0295V0.00508N0.000804Nb0.0000606Co0.128Al0.00104,0.21,0.01,0.01,14.58,0.01,5.02,0.46,0.02,0.01,13.45,0.0,0.05,0.0,1529.6,2108.3,12.0,Fe0.667 C0.00984 Mn0.000102 Si0.0002 Cr0.158 Ni9.59e-05 Mo0.0295 V0.00508 N0.000804 Nb6.06e-05 Co0.128 Al0.00104,26.04177439239389,54.5039349419464,56.292658872058986,1915.19863182033,7.808682909507388,4.007034552088205,132.4799751931161,1.8260659222934363
Fe0.668C0.000469Mn0.000102Si0.000200Cr0.119Ni0.0764Mo0.0293V0.000110Nb0.0000606Co0.0817Al0.0252Ti0.000118,0.01,0.01,0.01,10.96,7.97,5.0,0.01,0.0,0.01,8.55,0.0,1.21,0.01,1825.8,1953.3,11.0,Fe0.668 C0.000469 Mn0.000102 Si0.0002 Cr0.119 Ni0.0764 Mo0.0293 V0.00011 Nb6.06e-05 Co0.0817 Al0.0252 Ti0.000118,26.125841994620348,55.30811796539002,56.27919050667979,1855.7061632147434,8.066784149175204,4.003020607607223,132.07675257400217,1.8243486896043373
Fe0.668C0.00972Mn0.00435Si0.00990Cr0.134Ni0.0112Mo0.0119V0.000109Nb0.0000598Co0.150Al0.000618,0.21,0.43,0.5,12.53,1.18,2.06,0.01,0.0,0.01,15.95,0.0,0.03,0.0,1352.2,1839.4,19.0,Fe0.668 C0.00972 Mn0.00435 Si0.0099 Cr0.134 Ni0.0112 Mo0.0119 V0.000109 Nb5.98e-05 Co0.15 Al0.000618,25.7697530286337,55.09186775546258,55.58071985471198,1882.601379977613,7.996553106404837,3.9819992222886316,131.48576096096963,1.8258442909024575
Fe0.668Mn0.000102Si0.000200Cr0.119Ni0.0767Mo0.0292V0.000111Nb0.0000606Co0.0813Al0.0248Ti0.000235,0.0,0.01,0.01,10.97,7.99,4.98,0.01,0.0,0.01,8.51,0.0,1.19,0.02,1837.9,1949.8,12.5,Fe0.668 Mn0.000102 Si0.0002 Cr0.119 Ni0.0767 Mo0.0292 V0.000111 Nb6.06e-05 Co0.0813 Al0.0248 Ti0.000235,26.138674409722988,55.290574873518146,56.306384429920875,1855.055255101336,8.061961255509853,4.004261841900729,132.10859584482915,1.8240304124621913
Fe0.669C0.00331Mn0.00590Si0.00648Cr0.129Ni0.0000969Mo0.0375V0.000112N0.00203Nb0.0000612Co0.147Al0.000632,0.07,0.57,0.32,11.76,0.01,6.32,0.01,0.05,0.01,15.2,0.0,0.03,0.0,1133.4,1931.2,13.4,Fe0.669 C0.00331 Mn0.0059 Si0.00648 Cr0.129 Ni9.69e-05 Mo0.0375 V0.000112 N0.00203 Nb6.12e-05 Co0.147 Al0.000632,26.292801247719936,54.74921121010115,56.8741116890849,1892.9970417594416,7.884014347500671,4.019747041844347,132.43812158377085,1.8312669143953575
Fe0.669C0.00929Mn0.000102Si0.000596Cr0.151Ni0.0000950Mo0.0115V0.000110Nb0.000480Co0.157Al0.000620,0.2,0.01,0.03,14.09,0.01,1.98,0.01,0.0,0.08,16.62,0.0,0.03,0.0,1358.2,1841.4,13.8,Fe0.669 C0.00929 Mn0.000102 Si0.000596 Cr0.151 Ni9.5e-05 Mo0.0115 V0.00011 Nb0.00048 Co0.157 Al0.00062,25.84491389717672,54.732126550195886,55.78574045919704,1890.9895362340003,7.892711791340807,3.992182381753023,131.84601612533794,1.8224141897372759
Fe0.669C0.00957Mn0.0000996Si0.0388Cr0.132Ni0.00876Mo0.0113V0.000107Nb0.000471Co0.129Al0.000608,0.21,0.01,1.99,12.58,0.94,1.98,0.01,0.0,0.08,13.88,0.0,0.03,0.0,1354.2,1769.8,19.1,Fe0.669 C0.00957 Mn9.96e-05 Si0.0388 Cr0.132 Ni0.00876 Mo0.0113 V0.000107 Nb0.000471 Co0.129 Al0.000608,25.40489115104336,55.700113312226,54.71598181345855,1880.07715710348,8.151389455161047,3.953209692836643,130.98884062627414,1.8277541832897275
Fe0.670C0.00439Mn0.00704Si0.00563Cr0.138Ni0.0000999Mo0.000122V0.000115N0.00126Nb0.0000631Co0.147W0.0255Al0.000652,0.09,0.66,0.27,12.28,0.01,0.02,0.01,0.03,0.01,14.8,8.0,0.03,0.0,1081.1,1678.6,5.8,Fe0.67 C0.00439 Mn0.00704 Si0.00563 Cr0.138 Ni9.99e-05 Mo0.000122 V0.000115 N0.00126 Nb6.31e-05 Co0.147 W0.0255 Al0.000652,26.903052890770024,54.760124895986685,58.612357682488565,1907.185734414005,7.8845667245407425,4.033607401747424,132.4565554390962,1.8303806477229083
Fe0.670C0.00564Mn0.000103Si0.000201Cr0.158Ni0.0000963Mo0.0300V0.00477N0.00121Nb0.0000608Co0.129Al0.000628,0.12,0.01,0.01,14.52,0.01,5.09,0.43,0.03,0.01,13.48,0.0,0.03,0.0,1515.8,2101.5,6.0,Fe0.67 C0.00564 Mn0.000103 Si0.000201 Cr0.158 Ni9.63e-05 Mo0.03 V0.00477 N0.00121 Nb6.08e-05 Co0.129 Al0.000628,26.133364395702714,54.41836020098247,56.496379254424916,1906.782973226912,7.785190711978115,4.0155363195153475,132.69348893593147,1.8238999154854152
Fe0.670C0.00798Mn0.000103Si0.000201Cr0.155Ni0.0000961Mo0.0299V0.00454N0.00121Nb0.0000607Co0.131Al0.000627,0.17,0.01,0.01,14.26,0.01,5.09,0.41,0.03,0.01,13.64,0.0,0.03,0.0,1502.0,2094.6,11.0,Fe0.67 C0.00798 Mn0.000103 Si0.000201 Cr0.155 Ni9.61e-05 Mo0.0299 V0.00454 N0.00121 Nb6.07e-05 Co0.131 Al0.000627,26.09355954296006,54.49692210930994,56.40807731194868,1910.005863780978,7.808315690997002,4.010744987248152,132.52185201462387,1.8262124357136447
Fe0.671C0.000470Mn0.000514Si0.00100Cr0.000109Ni0.141Mo0.00882V0.000111Nb0.0000607Co0.147Al0.0159Ti0.0137,0.01,0.05,0.05,0.01,14.7,1.5,0.01,0.0,0.01,15.3,0.0,0.76,1.16,2157.3,2239.3,8.5,Fe0.671 C0.00047 Mn0.000514 Si0.001 Cr0.000109 Ni0.141 Mo0.00882 V0.000111 Nb6.07e-05 Co0.147 Al0.0159 Ti0.0137,26.287156040299507,56.394799180181515,56.4388209717884,1791.1777853557223,8.44377282157064,3.9910378742417483,130.35353526967052,1.844283892711372
Fe0.671C0.00189Mn0.00569Si0.00547Cr0.134Ni0.0000969Mo0.0347V0.000112N0.00122Nb0.0000612Co0.145Al0.000632,0.04,0.55,0.27,12.29,0.01,5.85,0.01,0.03,0.01,15.0,0.0,0.03,0.0,1287.4,1891.1,11.0,Fe0.671 C0.00189 Mn0.00569 Si0.00547 Cr0.134 Ni9.69e-05 Mo0.0347 V0.000112 N0.00122 Nb6.12e-05 Co0.145 Al0.000632,26.29248720911405,54.6511751853062,56.86201492607025,1890.7376085801377,7.857425964780896,4.022442070340797,132.57275645555066,1.8273796008509493
Fe0.671C0.00376Mn0.000103Si0.000201Cr0.157Ni0.0000962Mo0.0294V0.00510N0.00282Nb0.0000608Co0.130Al0.000628,0.08,0.01,0.01,14.48,0.01,4.99,0.46,0.07,0.01,13.56,0.0,0.03,0.0,1311.4,2016.5,13.3,Fe0.671 C0.00376 Mn0.000103 Si0.000201 Cr0.157 Ni9.62e-05 Mo0.0294 V0.0051 N0.00282 Nb6.08e-05 Co0.13 Al0.000628,26.132722969818097,54.42976516968632,56.49237883733629,1899.2032124171014,7.788488745402026,4.015469185707616,132.68097291557726,1.8244531194228175
Fe0.671C0.00925Mn0.00516Si0.0103Cr0.135Ni0.00965Mo0.0115V0.000109Nb0.0000598Co0.147Al0.000618,0.2,0.51,0.52,12.66,1.02,1.99,0.01,0.0,0.01,15.56,0.0,0.03,0.0,1245.4,1754.6,18.5,Fe0.671 C0.00925 Mn0.00516 Si0.0103 Cr0.135 Ni0.00965 Mo0.0115 V0.000109 Nb5.98e-05 Co0.147 Al0.000618,25.758990875577247,55.066007913995215,55.555844752445346,1881.5769444367747,7.988019368440932,3.982135490255158,131.5378613726368,1.8247298245740395
